Spectrometer
Copyright © Kvant 2018. All rights reserved.

Date: Monday, March 16, 2026 10:56:54 AM
Source image name: .bmp
Source image [pixels]: 1280 x 720
Source image processed height [pixels]: 20
Source image processed [position pixel range]: 360 - 380

Spectrum range [nm]: 366.5 - 939.7

Chart Points:

Wave Length [nm]	Intensity [a.u.]

===START===
366.5	23.0
366.9	23.1
367.3	23.1
367.7	23.0
368.0	22.9
368.4	22.6
368.8	22.9
369.2	22.9
369.6	24.9
370.0	24.6
370.3	24.7
370.7	24.0
371.1	24.5
371.5	24.5
371.9	25.2
372.3	25.3
372.7	27.5
373.0	27.5
373.4	26.8
373.8	26.7
374.2	25.7
374.6	25.5
375.0	24.3
375.3	24.3
375.7	23.8
376.1	24.1
376.5	23.3
376.9	23.1
377.3	22.7
377.7	22.4
378.0	21.2
378.4	20.9
378.8	19.9
379.2	20.0
379.6	20.2
380.0	20.3
380.4	21.1
380.8	21.2
381.1	21.9
381.5	22.0
381.9	22.1
382.3	21.9
382.7	22.2
383.1	22.3
383.5	22.7
383.9	23.2
384.2	23.7
384.6	24.0
385.0	24.9
385.4	24.6
385.8	24.0
386.2	23.6
386.6	23.2
387.0	23.4
387.3	23.1
387.7	23.2
388.1	22.1
388.5	21.8
388.9	20.1
389.3	19.4
389.7	18.7
390.1	19.3
390.5	19.6
390.8	19.8
391.2	20.6
391.6	20.3
392.0	20.1
392.4	20.0
392.8	21.0
393.2	21.4
393.6	22.8
394.0	23.3
394.4	23.4
394.7	23.3
395.1	22.0
395.5	21.4
395.9	20.0
396.3	19.9
396.7	18.4
397.1	18.4
397.5	21.8
397.9	21.5
398.3	22.0
398.7	21.7
399.1	22.5
399.4	22.7
399.8	22.8
400.2	23.0
400.6	22.0
401.0	22.0
401.4	20.5
401.8	20.5
402.2	18.6
402.6	18.6
403.0	17.5
403.4	17.5
403.8	21.9
404.2	21.9
404.5	22.6
404.9	22.4
405.3	23.3
405.7	23.1
406.1	23.3
406.5	23.4
406.9	23.0
407.3	23.0
407.7	21.5
408.1	21.5
408.5	20.6
408.9	20.6
409.3	19.4
409.7	19.4
410.1	18.2
410.5	18.1
410.9	18.8
411.2	18.7
411.6	20.6
412.0	20.7
412.4	22.8
412.8	22.9
413.2	23.5
413.6	23.6
414.0	24.2
414.4	24.2
414.8	24.5
415.2	24.6
415.6	24.2
416.0	24.3
416.4	21.6
416.8	21.5
417.2	20.9
417.6	20.8
418.0	19.9
418.4	20.2
418.8	19.6
419.2	19.5
419.6	20.5
420.0	20.8
420.4	21.6
420.8	21.7
421.2	21.6
421.6	20.9
422.0	21.1
422.4	20.8
422.8	23.1
423.1	23.0
423.5	22.5
423.9	21.7
424.3	20.4
424.7	20.4
425.1	19.6
425.5	19.7
425.9	19.1
426.3	19.1
426.7	18.2
427.1	18.2
427.5	18.1
427.9	18.6
428.3	18.9
428.7	19.2
429.1	21.3
429.5	21.0
429.9	20.1
430.3	19.7
430.7	19.2
431.1	19.4
431.5	19.0
431.9	19.1
432.3	19.1
432.7	17.8
433.1	17.7
433.5	18.9
433.9	18.9
434.3	17.4
434.7	16.9
435.1	18.1
435.5	20.9
435.9	20.6
436.3	19.7
436.8	18.9
437.2	18.2
437.6	18.3
438.0	17.7
438.4	17.9
438.8	19.3
439.2	19.3
439.6	19.4
440.0	19.5
440.4	19.9
440.8	20.0
441.2	20.3
441.6	20.3
442.0	20.1
442.4	20.2
442.8	20.0
443.2	19.9
443.6	19.5
444.0	19.2
444.4	19.2
444.8	19.1
445.2	20.1
445.6	20.2
446.0	20.7
446.4	20.9
446.8	21.1
447.2	21.2
447.6	21.5
448.0	21.5
448.4	22.2
448.9	22.1
449.3	22.4
449.7	21.8
450.1	21.8
450.5	21.9
450.9	21.9
451.3	21.9
451.7	22.9
452.1	22.8
452.5	23.1
452.9	23.0
453.3	23.3
453.7	23.1
454.1	23.3
454.5	23.3
454.9	23.0
455.3	22.8
455.8	22.8
456.2	22.4
456.6	22.2
457.0	22.1
457.4	21.8
457.8	21.8
458.2	21.7
458.6	22.2
459.0	21.7
459.4	21.4
459.8	20.0
460.2	19.7
460.6	20.0
461.1	20.6
461.5	21.1
461.9	20.8
462.3	20.3
462.7	20.0
463.1	19.4
463.5	19.6
463.9	19.8
464.3	20.0
464.7	20.1
465.1	20.0
465.5	20.8
466.0	20.6
466.4	21.7
466.8	21.5
467.2	22.0
467.6	22.0
468.0	22.3
468.4	22.1
468.8	22.0
469.2	21.7
469.6	21.7
470.1	22.0
470.5	22.2
470.9	22.4
471.3	21.6
471.7	21.2
472.1	20.7
472.5	20.4
472.9	20.5
473.3	20.8
473.8	21.0
474.2	21.3
474.6	21.6
475.0	21.5
475.4	20.9
475.8	20.6
476.2	20.5
476.6	20.9
477.1	20.6
477.5	20.8
477.9	19.7
478.3	19.6
478.7	19.0
479.1	18.7
479.5	18.0
479.9	17.6
480.4	16.8
480.8	16.8
481.2	17.3
481.6	16.9
482.0	18.4
482.4	18.0
482.8	20.4
483.2	20.8
483.7	22.8
484.1	23.3
484.5	25.7
484.9	25.7
485.3	25.9
485.7	25.9
486.1	26.1
486.6	26.1
487.0	24.9
487.4	24.9
487.8	21.9
488.2	21.8
488.6	23.1
489.1	22.9
489.5	25.1
489.9	24.9
490.3	25.3
490.7	25.1
491.1	24.8
491.5	24.8
492.0	21.4
492.4	21.4
492.8	17.8
493.2	17.6
493.6	16.0
494.0	16.0
494.5	16.3
494.9	16.2
495.3	16.9
495.7	17.7
496.1	19.9
496.5	19.5
497.0	19.6
497.4	18.6
497.8	20.5
498.2	20.8
498.6	20.4
499.1	20.6
499.5	19.7
499.9	19.5
500.3	18.7
500.7	18.4
501.1	21.2
501.6	21.1
502.0	20.8
502.4	20.4
502.8	19.8
503.2	19.8
