Spectrometer
Copyright © Kvant 2018. All rights reserved.

Date: Monday, March 16, 2026 11:22:25 AM
Source image name: .bmp
Source image [pixels]: 1280 x 720
Source image processed height [pixels]: 20
Source image processed [position pixel range]: 360 - 380

Spectrum range [nm]: 374.4 - 925.1

Chart Points:

Wave Length [nm]	Intensity [a.u.]

===START===
374.4	17.4
374.8	17.3
375.3	17.1
375.7	16.9
376.1	16.5
376.6	16.7
377.0	16.7
377.4	16.8
377.9	16.2
378.3	15.9
378.7	15.3
379.1	15.2
379.6	14.6
380.0	14.3
380.4	14.2
380.9	13.9
381.3	15.4
381.7	15.6
382.2	15.6
382.6	15.9
383.0	15.6
383.5	15.7
383.9	15.6
384.3	15.7
384.7	16.1
385.2	16.0
385.6	15.9
386.0	15.8
386.5	15.8
386.9	15.8
387.3	15.7
387.8	15.7
388.2	15.0
388.6	15.2
389.0	15.4
389.5	15.6
389.9	15.7
390.3	15.9
390.8	16.0
391.2	16.2
391.6	15.0
392.1	14.8
392.5	14.0
392.9	13.9
393.4	13.7
393.8	13.6
394.2	13.7
394.6	13.8
395.1	14.5
395.5	14.3
395.9	14.0
396.4	13.8
396.8	13.3
397.2	13.1
397.7	12.9
398.1	12.7
398.5	13.7
399.0	13.7
399.4	13.8
399.8	14.1
400.2	14.2
400.7	14.6
401.1	14.6
401.5	14.6
402.0	15.1
402.4	15.1
402.8	14.9
403.3	14.7
403.7	13.7
404.1	13.5
404.5	13.4
405.0	13.4
405.4	14.0
405.8	13.6
406.3	12.5
406.7	12.3
407.1	12.2
407.6	12.4
408.0	12.7
408.4	13.1
408.9	14.9
409.3	14.5
409.7	13.6
410.1	13.3
410.6	12.6
411.0	12.6
411.4	12.8
411.9	13.0
412.3	13.5
412.7	13.1
413.2	12.8
413.6	12.8
414.0	13.1
414.5	13.2
414.9	13.1
415.3	13.0
415.7	13.9
416.2	13.7
416.6	13.4
417.0	13.2
417.5	12.6
417.9	12.3
418.3	12.0
418.8	11.9
419.2	13.0
419.6	12.9
420.0	12.9
420.5	12.9
420.9	13.0
421.3	13.0
421.8	13.0
422.2	13.1
422.6	13.6
423.1	13.3
423.5	12.8
423.9	12.4
424.4	12.4
424.8	12.6
425.2	12.6
425.6	12.8
426.1	13.2
426.5	13.2
426.9	13.0
427.4	13.0
427.8	13.0
428.2	13.0
428.7	13.0
429.1	12.9
429.5	12.8
430.0	12.7
430.4	12.6
430.8	12.5
431.2	12.5
431.7	12.6
432.1	12.7
432.5	12.8
433.0	13.7
433.4	13.7
433.8	13.6
434.3	13.6
434.7	13.7
435.1	13.8
435.6	14.0
436.0	14.2
436.4	19.9
436.8	19.3
437.3	18.5
437.7	17.7
438.1	17.4
438.6	17.4
439.0	18.1
439.4	18.3
439.9	19.6
440.3	19.6
440.7	20.0
441.1	20.1
441.6	20.6
442.0	20.6
442.4	21.0
442.9	20.9
443.3	22.8
443.7	22.4
444.2	22.8
444.6	22.7
445.0	25.1
445.5	25.6
445.9	29.4
446.3	29.8
446.7	33.5
447.2	33.5
447.6	36.4
448.0	36.4
448.5	38.7
448.9	38.8
449.3	39.9
449.8	39.8
450.2	42.5
450.6	42.3
451.1	44.3
451.5	44.5
451.9	49.0
452.3	49.8
452.8	55.8
453.2	56.4
453.6	63.2
454.1	63.2
454.5	69.3
454.9	69.7
455.4	73.7
455.8	74.3
456.2	76.5
456.6	76.5
457.1	86.9
457.5	86.8
457.9	91.2
458.4	91.2
458.8	100.2
459.2	100.8
459.7	111.5
460.1	112.1
460.5	125.4
461.0	125.9
461.4	135.8
461.8	136.6
462.2	145.2
462.7	146.0
463.1	150.1
463.5	150.4
464.0	165.4
464.4	166.0
464.8	170.6
465.3	171.7
465.7	180.6
466.1	181.7
466.6	189.8
467.0	190.3
467.4	198.8
467.8	199.1
468.3	202.8
468.7	203.7
469.1	206.8
469.6	207.5
470.0	208.2
470.4	208.6
470.9	207.7
471.3	207.8
471.7	208.4
472.1	208.9
472.6	208.8
473.0	209.3
473.4	207.9
473.9	208.0
474.3	204.4
474.7	204.8
475.2	198.8
475.6	199.1
476.0	193.0
476.5	192.4
476.9	188.0
477.3	187.5
477.7	182.7
478.2	182.5
478.6	180.2
479.0	178.9
479.5	173.8
479.9	172.2
480.3	164.9
480.8	164.2
481.2	156.4
481.6	155.9
482.1	146.7
482.5	146.0
482.9	138.9
483.3	138.3
483.8	134.7
484.2	134.5
484.6	121.9
485.1	121.7
485.5	118.9
485.9	118.3
486.4	113.5
486.8	113.0
487.2	107.4
487.7	107.2
488.1	102.0
488.5	101.5
488.9	95.0
489.4	93.9
489.8	89.3
490.2	88.9
490.7	87.5
491.1	87.4
491.5	79.2
492.0	78.6
492.4	74.9
492.8	74.9
493.2	70.5
493.7	70.7
494.1	64.1
494.5	63.3
495.0	56.0
495.4	55.2
495.8	50.7
496.3	49.8
496.7	47.5
497.1	47.4
497.6	46.2
498.0	46.1
498.4	44.7
498.8	43.2
499.3	41.4
499.7	41.0
500.1	40.5
500.6	40.8
501.0	39.3
501.4	38.5
501.9	37.6
502.3	37.4
502.7	36.0
503.2	35.6
503.6	34.4
504.0	33.9
504.4	33.5
504.9	33.3
505.3	26.7
505.7	26.5
506.2	26.2
506.6	25.8
507.0	24.1
507.5	23.6
507.9	22.9
508.3	22.6
508.7	22.4
509.2	22.2
509.6	20.8
510.0	20.8
510.5	20.9
510.9	20.9
511.3	20.9
511.8	20.5
512.2	20.6
512.6	20.0
513.1	19.1
513.5	19.2
513.9	19.8
514.3	19.9
514.8	19.1
515.2	18.3
515.6	18.4
516.1	18.3
516.5	18.1
516.9	17.9
517.4	17.7
517.8	17.4
518.2	17.4
518.7	17.3
519.1	17.7
519.5	17.5
519.9	16.9
520.4	16.3
520.8	15.7
521.2	15.1
