Spectrometer
Copyright © Kvant 2018. All rights reserved.

Date: Monday, March 16, 2026 11:16:29 AM
Source image name: .bmp
Source image [pixels]: 1280 x 720
Source image processed height [pixels]: 20
Source image processed [position pixel range]: 360 - 380

Spectrum range [nm]: 374.4 - 925.1

Chart Points:

Wave Length [nm]	Intensity [a.u.]

===START===
374.4	19.5
374.8	19.4
375.3	18.4
375.7	18.0
376.1	17.4
376.6	17.0
377.0	15.9
377.4	16.0
377.9	15.7
378.3	15.7
378.7	14.7
379.1	14.3
379.6	13.5
380.0	13.1
380.4	12.7
380.9	12.7
381.3	11.0
381.7	11.8
382.2	12.2
382.6	12.0
383.0	11.2
383.5	11.0
383.9	12.0
384.3	12.7
384.7	13.5
385.2	13.6
385.6	14.4
386.0	14.6
386.5	15.0
386.9	15.1
387.3	15.4
387.8	15.5
388.2	15.6
388.6	15.4
389.0	15.1
389.5	14.8
389.9	13.9
390.3	13.8
390.8	12.9
391.2	12.9
391.6	12.0
392.1	12.3
392.5	12.0
392.9	12.3
393.4	12.9
393.8	13.1
394.2	13.5
394.6	13.6
395.1	14.2
395.5	14.1
395.9	14.0
396.4	13.7
396.8	13.5
397.2	13.2
397.7	13.1
398.1	13.1
398.5	13.6
399.0	13.8
399.4	14.2
399.8	14.3
400.2	15.0
400.7	15.2
401.1	15.4
401.5	15.6
402.0	15.3
402.4	15.3
402.8	15.1
403.3	15.1
403.7	14.6
404.1	14.6
404.5	14.3
405.0	14.3
405.4	14.5
405.8	14.3
406.3	14.3
406.7	14.0
407.1	14.1
407.6	14.4
408.0	14.8
408.4	15.0
408.9	14.5
409.3	14.4
409.7	14.0
410.1	13.8
410.6	13.4
411.0	13.3
411.4	13.1
411.9	13.0
412.3	13.0
412.7	12.9
413.2	12.8
413.6	12.6
414.0	12.4
414.5	12.4
414.9	12.4
415.3	12.3
415.7	14.1
416.2	14.1
416.6	13.3
417.0	13.0
417.5	12.7
417.9	12.2
418.3	11.4
418.8	11.4
419.2	12.4
419.6	12.4
420.0	12.3
420.5	12.4
420.9	12.2
421.3	12.2
421.8	12.3
422.2	12.3
422.6	12.5
423.1	12.6
423.5	12.6
423.9	12.7
424.4	12.6
424.8	12.6
425.2	12.5
425.6	12.6
426.1	12.0
426.5	12.3
426.9	12.9
427.4	13.0
427.8	13.1
428.2	13.0
428.7	12.6
429.1	12.3
429.5	14.0
430.0	13.8
430.4	13.5
430.8	13.1
431.2	13.1
431.7	13.4
432.1	13.7
432.5	13.9
433.0	15.0
433.4	14.8
433.8	14.2
434.3	13.9
434.7	13.6
435.1	13.8
435.6	14.2
436.0	14.2
436.4	16.0
436.8	15.6
437.3	14.9
437.7	14.3
438.1	13.4
438.6	13.1
439.0	12.8
439.4	12.8
439.9	13.3
440.3	13.2
440.7	13.0
441.1	13.0
441.6	13.1
442.0	13.5
442.4	14.1
442.9	14.4
443.3	14.8
443.7	15.4
444.2	15.3
444.6	14.4
445.0	12.7
445.5	12.2
445.9	12.5
446.3	13.2
446.7	13.3
447.2	13.5
447.6	14.4
448.0	14.6
448.5	15.1
448.9	14.9
449.3	14.8
449.8	14.6
450.2	14.3
450.6	14.3
451.1	13.9
451.5	13.9
451.9	13.7
452.3	13.7
452.8	13.3
453.2	13.3
453.6	13.4
454.1	13.5
454.5	13.4
454.9	13.4
455.4	13.7
455.8	13.5
456.2	13.9
456.6	13.8
457.1	13.9
457.5	13.9
457.9	13.8
458.4	13.8
458.8	13.4
459.2	13.3
459.7	13.2
460.1	13.2
460.5	12.7
461.0	13.0
461.4	13.1
461.8	13.3
462.2	13.4
462.7	13.2
463.1	13.0
463.5	12.7
464.0	11.8
464.4	11.9
464.8	12.0
465.3	12.2
465.7	12.6
466.1	12.7
466.6	13.0
467.0	13.0
467.4	13.2
467.8	13.3
468.3	13.5
468.7	13.6
469.1	14.0
469.6	14.2
470.0	14.4
470.4	14.5
470.9	13.8
471.3	13.5
471.7	12.6
472.1	11.4
472.6	10.8
473.0	10.4
473.4	10.5
473.9	11.2
474.3	11.9
474.7	12.0
475.2	12.9
475.6	13.0
476.0	13.4
476.5	13.9
476.9	14.2
477.3	14.2
477.7	15.1
478.2	15.1
478.6	14.4
479.0	14.2
479.5	13.8
479.9	13.2
480.3	13.5
480.8	13.4
481.2	13.7
481.6	13.7
482.1	14.1
482.5	14.1
482.9	14.8
483.3	14.8
483.8	15.2
484.2	15.2
484.6	14.8
485.1	15.0
485.5	15.2
485.9	14.9
486.4	14.7
486.8	13.8
487.2	13.3
487.7	12.9
488.1	11.8
488.5	12.0
488.9	11.6
489.4	12.3
489.8	11.8
490.2	11.9
490.7	12.0
491.1	12.0
491.5	15.5
492.0	15.3
492.4	14.9
492.8	14.6
493.2	13.5
493.7	13.5
494.1	13.6
494.5	13.8
495.0	13.6
495.4	13.3
495.8	12.3
496.3	12.1
496.7	12.2
497.1	11.8
497.6	11.9
498.0	12.0
498.4	13.4
498.8	13.4
499.3	13.4
499.7	13.4
500.1	13.6
500.6	13.6
501.0	14.4
501.4	14.4
501.9	14.3
502.3	14.3
502.7	14.1
503.2	14.1
503.6	13.8
504.0	14.0
504.4	14.4
504.9	14.4
505.3	15.4
505.7	15.2
506.2	14.7
506.6	14.2
507.0	13.2
507.5	13.4
507.9	13.7
508.3	13.7
508.7	14.5
509.2	14.2
509.6	12.9
510.0	12.6
510.5	12.3
510.9	12.2
511.3	12.2
511.8	12.4
512.2	12.6
512.6	12.8
513.1	12.9
513.5	13.1
513.9	12.9
514.3	12.6
514.8	12.2
515.2	11.9
515.6	12.7
516.1	12.4
516.5	12.0
516.9	11.6
517.4	11.4
517.8	11.5
518.2	11.8
518.7	12.0
519.1	14.4
519.5	14.4
519.9	13.8
520.4	13.8
520.8	13.7
521.2	14.1
